;Locations;Frequency_locations
166;Nam Yuen Restaurant (740 Washington Street, Chinatown);1
167;Market Street (from 6th- 4th Streets);1
168;Mission btwn 16th and Cesar Chavez;1
169;McAllister & Scott Streets (Hayes Valley);1
170;Mason St from Pine to Sacramento;1
171;Montgomery & Vallejo Streets (Telegraph Hill);1
172;Mission Arts Center, 2450 Harrison Street;1
173;Mission Creek Harbor along Channel St.;1
174;Mission District;1
175;Montgomery and Vallejo;1
176;Montgomery and Union St.;1
177;Mission Dolores Park (Mission District) via J-Church MUNI Train;1
178;Montgomery Street at Post Street;1
179;Mission Dolores Park, 19th St. & Dolores St.;1
180;Mission Inn (5630 Mission St);1
181;Mission Neibhrohood Health Cetner, 240 Shotweel Street;1
182;Montgomery St and Vallejo St;1
183;Mission Rock at 3rd St;1
184;Mission San Juan Bautista (2nd & Mariposa Streets);1
185;Mason Street @ Vallejo;1
186;Mission St and 5th St;1
187;Mission St., Embarcadero, and Front between Clay and Market;1
188;Mission Street;1
189;Montgomery & Vallejo Streets;1
190;Montgomery & Pine Streets (Financial District);1
191;Mission Street @ 22nd Street;1
192;Mojito (1337-1339 Grant Avenue);1
193;Mission Thrift, 2330 Mission St.;1
194;Mission at 1st and 2nd;1
195;Mission between 19th and 25th St.;1
196;Mission between 3rd and 4th St.;1
197;Missouri St at 18th St;1
198;Mission Arts Center;1
199;Montgomery between California and Pine;1
200;Montgomery between Green and Broadway;1
201;Montgomery between Pacific and Broadway;1
202;Mason Street at Jackson;1
203;Mason and Pacific;1
204;Mason between Sacramento and California St;1
205;Matching Half Café, 1799 McAllister Street;1
206;Mr. S Leather;1
207;McAllister between Leavenworth and Hyde;1
208;McCovey Point, China Basin Park (24 Willy Mays Plaza);1
209;Motel Capri;1
210;McDonald's Restaurant (701 3rd Street, SOMA);1
211;McLaren Lodge;1
212;McLaren Park (Visitacion  Valley);1
213;Mecca Restaurant (2029 Market Street);1
214;Moscone Convention Center;1
215;Mel's Drive-In (Corner South Van Ness & Mission St.);1
216;Moscone Center Parking Garage/3rd St.;1
217;Montgomery/Green;1
218;Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District);1
219;Montgomery btwn Green and Pacific;1
220;Merchant Exchange Building;1
221;Merchant Exchange Building (465 California Street);1
222;Miraloma Mall at Portola Frontage Road;1
223;Mirant Energy, LLC (1301 Illinois Street, The Dogpatch);1
224;Montgomery btwn Broadway and Pacific;1
225;Mission & Beal;1
226;Mission & Fremont St;1
227;"""Metzger's Apt"" 151 Alice B. Toklas Pl.";1
228;Lombard St btwn Polk and Leavenworth;1
229;Marina Green;1
230;Hyde Street Pier;1
231;Innes turning into Evans Ave;1
232;Innes and Arelious Walker;1
233;Infield Batting Cages, 1888 Clement Street;1
234;Ina Coolbrith Park (1700 Taylor Street);1
235;Illinois St btwn Marin and Amador;1
236;Ida B. Wells High School (1099 Hayes Street);1
237;Hyde at Union;1
238;Hyde Street & Lombard Street;1
239;Intersection of Broadway at Kearney;1
240;Hyde St. at Greenwich and Hyde St. at Lombard;1
241;Hyde St at Pacific to Washington St;1
242;Hyde St at Chestnut St;1
243;Hyde St and Lombard St to Larkin and Lombard;1
244;Hyatt Regency Hotel (5 Embarcadero Center, Financial District);1
245;Hyatt Hotel (555 North Point St.);1
246;Hyatt Fisherman's Wharf (555 Northpoint Street);1
247;International Studies Academy (993 Vermont Street, Potrero Hill);1
248;Intersection of California & Grant Streets (Richmond District);1
249;Huntington Park;1
250;Irving St. at 9th Ave.;1
251;Jawbone at 99 Rhode Island St.;1
252;Java St;1
253;Java House (Pier 40, Embarcadero);1
254;Jackson St. from Mason St. to Powell St.;1
255;Jackson St. at Spruce;1
256;Jack Kerouac Alley between Columbus & Grant Streets;1
257;Ivy Street between Laguna and Gough Streets;1
258;Intersection of York & Peralta (Bernal Heights);1
259;Intersection of California at Polk;1
260;Intersection of Lombard and Hyde;1
261;Intersection of Grant & Fresno Streets (North Beach);1
262;Intersection of Fulton & 6th Streets (Chinatown);1
263;Intersection of Columbus and Kearny;1
264;Intersection of Columbus & Mason Streets;1
265;Intersection of Columbus & Kearney Streets;1
266;Intersection of Clay St. and Walter U Lum Plc;1
267;Huntington Park, Pine/Kearny, Bush/Hyde;1
268;Hunters Point;1
269;Jefferson St. at Powell St.;1
270;Harrison & 20th;1
271;Hayes & Polk Streets (Civic Center);1
272;Harvey Milk Rec Center, 50 Scott St.;1
273;Harvey Milk Plaza, 17th and Castro;1
274;Harvey Milk Plaza;1
275;Harry's Bar on Fillmore;1
276;Harrison Street (The Embarcadero);1
277;Harrison St to Beale St to Bryant St;1
278;Harrison;1
279;Hayes Street between Ashbury and Shrader;1
280;Harriet Street between Bryant and Brannan Streets;1
281;Harriet Alley;1
282;Hang Ah Alley (Chinatown);1
283;Hancock School (940 Filbert Street);1
284;Hamlin Hotel (385 Eddy Street);1
285;Hamburger Haven;1
286;Hall of Justice;1
287;Hayes Street at Laguna;1
288;Hayes Valley Care (601 Laguna Street, Hayes Valley);1
289;Howard Street at Steuart Street;1
290;Holiday Inn Select Downtown Hotel (750 Kearney Street);1
291;Howard St. from Embarcadero to 11 St.;1
292;Howard St between 3rd and 4th St.;1
293;Hotel Metropolis, 25 Mason St;1
294;Hotel Majestic (1500 Sutter Street);1
295;Hotel Jefferson, 440 Eddy St;1
296;Horace Mann School (3351 23rd Street);1
297;Hooker Alley Garden on Mason between Bush & Pine;1
298;Hobart Building (582 Market Street);1
299;Heald College;1
300;Hills Brothers Plaza (The Embarcadero at Harrison);1
301;Hills Brothers Plaza (Embarcadero at Harrison Street);1
302;Higher Grounds Coffee House;1
303;Heron and Berwick Alleys;1
304;Heron @ Berwick (off 8th and Harrison St);1
305;Hemlock Alley btwn Polk and Larkin;1
306;Heart of the City Farmers Market at UN Plaza;1
307;Jefferson Square Park;1
308;John Muir Drive (Lake Merced);1
309;Marina Blvd from Laguna to Baker;1
310;Lombard & Divisadero Streets (Marina District);1
311;Oakdale btwn 3rd and Bayshore;1
312;Lombard St between Leavenworth and Hyde St;1
313;Lombard St between Hyde and Larkin St;1
314;Lombard & Laguna Streets (Marina District);1
315;Lombard & Hyde Streets;1
316;Lombard & Hyde;1
317;Lombard & Fillmore Streets (Marina District);1
318;Lombard & Broderick Streets (Marina District);1
319;Lombard at Hyde;1
320;Little Embarcadero btwn Powell and Mason;1
321;Linden Alley between Octavia and Gough Streets;1
322;Lincoln Park;1
323;Li Po Lounge, 916 Grant Avenue;1
324;Legion of Honor, 100 34th Ave;1
325;Leavenworth from Filbert & Francisco St;1
326;Leavenworth at Union;1
327;Lombard Street between Hyde and Leavenworth;1
328;Love Street Vintage (1506 Haight & adjacent Haight sidewalk_;1
329;Leavenworth at Green;1
330;Maiden Lane;1
331;Marina Blvd between Baker and Fillmore St;1
332;Marathon Plaza (303 2nd Street);1
333;Mansell & University Streets (Visitacion  Valley);1
334;Manor West (750 Harrison St.);1
335;Mandarin Theatre (1021 Grant Avenue);1
336;Mama's Restaurant (1701 Stockton);1
337;Maiden Lane between Kearny and Grant;1
338;Magic Theater (Fort Mason, Golden Gate National Recreation Area);1
339;Lower Haight Street;1
340;Mad Dog Bar, 530 Haight Street;1
341;Macondray Ln and Taylor btwn Union and Green;1
342;Macchiarini Steps, Kearny between Vallejo and Broadway;1
343;Lyon at Chestnut St.;1
344;Lyon and Broadway;1
345;Lusty Lady Bar (North Beach);1
346;Lucky Street;1
347;Leavenworth at McAllister St;1
348;Leavenworth St at Lombard St;1
349;John Shelley Drive John McLaren Park;1
350;Julia Morgan Ballroom at the Merchant's Exchange Building, 465 California St.;1
351;Kearny Street between Broadway and Pacific Avenue;1
352;Kearny Steps/btwn Green and Pacific;1
353;Kearny & Pacific Streets;1
354;Kearney Street (Telegraph Hill);1
355;Kearney & Pine St.;1
356;Kansas St at 17th St.;1
357;KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District);1
358;Jones Street at Bush;1
359;Kennedy Hotel (226 Embarcadero at Howard Street);1
360;Jones St btwn Sacramento and Pine;1
361;Jones St btwn Green and Pacific;1
362;Jones @ Broadway;1
363;Jones & Pacific;1
364;Jonell's Bar, 401 Ellis;1
365;Joice Street at Clay Street;1
366;John St. between Powell and Mason;1
367;Kearny btwn Columbus and Washington;1
368;Kezar Pavillion;1
369;Larkin St btwn Post and Geary;1
370;Laguna Honda Hospital, 375 Laguna Honda Blvd.;1
371;Larkin & Hyde Streets;1
372;Larkin & Fulton;1
373;Larkin & Francisco Streets (Russian Hill);1
374;Larkin & Chestnut Streets (Russian Hill);1
375;Larken Street Youth Services, 1138 Sutter Street;1
376;Lands End Trail at Eagles Point/ Lincoln Park Golf Course;1
377;Laguna St btwn Jackson and Broadway;1
378;Laguna Honda Hospital;1
379;Kohl Building (400 Montgomery Street);1
380;Laguna & Sacramento Streets (Pacific Heights);1
381;Lafayette Park (Pacific Heights);1
382;Lafayette Park;1
383;La Taqueria, 2889 Mission St.;1
384;La Rondalla (Valencia and 20th Streets);1
385;La Bodega (1332 Grant Avenue at Vallejo);1
386;Koshland Park;1
387;O'Farrell between Leavenworth and Jones;1
388;Pier 14 San Francisco;1
389;Oasis Nightclub (298 11th St);1
390;The End Up, 401 6th Streeet;1
391;The Ramp Restaurant;1
392;The Marsh Theatre (1062 Valencia Street);1
393;The Magazine at 920 Larkin;1
394;The Lexington Club (3464 19th Street at Lexington);1
395;The Final Final (2990 Baker Street);1
396;The Ferry Building;1
397;The Fairmont;1
398;The Embarcadero/Ferry Building;1
399;The Saloon (1232 Grant Avenue);1
400;The Embarcadero/ Ferry Building;1
401;The Cannery (281 Leavenworth Street, Fisherman's Wharf);1
402;The Café at 2369 Market St.;1
403;The 500 Club (500 Guerrero Street, Mission District);1
404;Texas St at 19th St;1
405;Texas & 19th Streets (Potrero Hill);1
406;Terry A. Francois Blvd.;1
407;The Royal Oak;1
408;The San Francisco Bay;1
409;Telegraph Hill/North Beach;1
410;Tonic;1
411;Turk Street between Mason & Leavenworth;1
412;Turk St between Lyon and Baker St;1
413;Trolley Car from Market and 11th;1
414;Treasure Island, Building #1, Ave of the Palms;1
415;Trax Bar, Haight St;1
416;Transamerica Building (600 Montgomery Street at Clay);1
417;Tosca Café (242 Columbus Avenue);1
418;Tonga Room, Fairmont Hotel, 950 Mason Street;1
419;The San Francisco School (300 Gavin St.);1
420;Tonga Room;1
421;Tiburon Hiking Trail, Tiburon, CA;1
422;The Women's Building, 3543 18th St.;1
423;The Walden House, Buena Vista Park;1
424;The Stud, 399 9th Street;1
425;The Stud;1
426;The Sea Captain's Chest (Fisherman's Wharf);1
427;Tenderloin Neighborhood;1
428;Telegraph Hill Blvd (Telegraph Hill);1
429;Ocean Beach;1
430;Starbucks at 333 O'Farrell St.;1
431;Sue Bierman Park;1
432;Stockton Tunnel btwn Sutter and Sacramento;1
433;Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown);1
434;Stockton & Clay St;1
435;Stevenson Alley;1
436;Steiner St between Jackson and Clay St;1
437;Steiner St at Fulton St;1
438;Star's Café (55 Golden Gate Avenue at Van Ness);1
439;Surf Theater (4520 Irving Street);1
440;Stanyan & Belgrave;1
441;Stage Work, 47 Julian St.;1
442;St. Paul's Church (Church Street, Noe Valley);1
443;St. Mary's Square Park;1
444;St. John's Presbyterian Church (25 Lake Street);1
445;St. Francis Fountain;1
446;St. Francis Episcopal Church (399 San Fernando Way);1
447;Sunset Super, 2425 Irving St;1
448;Sutro Baths;1
449;Taylor and Union;1
450;Swedenborgian Church (2107 Lyon Street);1
451;Taylor and Jefferson Streets (Fisherman's Wharf);1
452;Taylor St. from Broadway to Filbert;1
453;Taylor St, north of Jefferson St to end;1
454;Taylor St btwn Green and Broadway;1
455;Taylor St Hill btwn Pacific and Greenwich;1
456;Taylor & Vallejo Streets (Russian Hill);1
457;Taylor & Green St.;1
458;Sutter-Stockton Garage (444  Stockton);1
459;Sutter & Baker Streets;1
460;Sutter-Stockton Garage (330 Sutter Street at Stockton);1
461;Sutter Street between Powell and Mason;1
462;Sutter Stockton Garage, 444 Stockton;1
463;Sutter Stockton Garage;1
464;Sutter St at Taylor St;1
465;Sutter & Webster Streets;1
466;Sutter & Buchannan Streets;1
467;Turk Street between Steiner and Scott Streets;1
468;Twin Peaks Bar, 401 Castro;1
469;Twin Peaks Blvd.;1
470;Washington btwn Gough and Octavia St;1
471;Way Faire Inn on Leidesdorff;1
472;Waverly Place;1
473;Waverly Pl btwn Washington and Clay St;1
474;Waverly Pl between Washington and Sacramento;1
475;Waverly Alley between Grant and Sacramento Streets;1
476;Water work in SF Bay;1
477;Wasteland Store (1600 Haight Street);1
478;Washington between Stockton and Kearny;1
479;Wells Fargo Bank (1 California Street, Financial District);1
480;Washington at Taylor St - Jackson St;1
481;Washington at Maple;1
482;Washington Square, North Beach;1
483;Washington Square Park - Filbert St at Stockton St;1
484;Washington Square Park (Filbert, between Stockton and Powell);1
485;Washington Square Bar & Grill (1707 Powell);1
486;Washington Square (North Beach);1
487;Webster Street;1
488;West Chrissy Field (Presidio, Golden Gate National Recreation Area);1
489;Twin Peaks Park;1
490;Women's Building, 3543 18th St.;1
491;"Z Space Studios; 450 Florida St.";1
492;York Hotel (940 Sutter Street);1
493;York & 24th St.;1
494;Yerba Buena Island;1
495;Yerba Buena Gardens;1
496;Yerba Buena Center for the Arts;1
497;YWCA, 940 Powell;1
498;Wisconsin between 19th and 20th St;1
499;West Harbor, Marina District;1
500;Wine Impression;1
501;Willy's Barber Shop;1
502;William Stout Architectural Books, 804 Montgomery St.;1
503;Westin St. Francis Hotel (335 Powell Street);1
504;Westin St. Francis;1
505;Westerfeld House, 1198 Fulton St.;1
506;Westar Marine Services, Pier 50;1
507;Washington Square;1
508;War Memorial Building (401 Van Ness Avenue);1
509;Waller St between Masonic and Del Mar St;1
510;University of California Hastings College of the Law;1
511;Valencia btwn Liberty and 21st St;1
512;Valencia btwn 16th and 17th St;1
513;Valencia St. from 16th to 17th;1
514;Vaillancourt Fountain (Justin Herman Plaza);1
515;Uva Enoteca, 568 Haight Street;1
516;Urban Flowers, 4029 18th Street;1
517;Urban Flowers;1
518;University Club;1
519;Victoria Theatre;1
520;United Nations Plaza;1
521;Unitarian Church (1187 Franklin St.);1
522;Union St at Leavenworth St;1
523;Underground SF, 424 Haight St.;1
524;Under Highway 101 (near Potrero and Cesar Chavez Streets);1
525;UN Plaza/ Civic Center Bart steps;1
526;UCSF Mt Zion 1600 Divisadero;1
527;Valenti, Marini, Perata, 4840 Mission Street;1
528;Vallejo Garage Roof (Vallejo at Powell);1
529;Vallejo St btwn Montgomery and Davis;1
530;Vallejo St. Garage, 766 Vallejo St.;1
531;Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street);1
532;Veterans' War Memorial Building (401 Van Ness Avenue);1
533;Vermont Street between 20th and 22nd Streets;1
534;Vega Coffee, 1245 Folsom Street;1
535;Various locations in San Francisco during driving scene;1
536;Various Haight St. Vintage Shops;1
537;Variety Preview Room (582 Market St.);1
538;Varennes Alley between Filbert and Union;1
539;Van Ness between Fell and Lombard;1
540;Van Ness and Market Street MUNI exit;1
541;Van Ness and 12th St.;1
542;Van Ness Avenue;1
543;Vallejo Street at Sansome;1
544;"Vallejo Street Garage; 766 Vallejo St.";1
545;Vallejo Street Garage;1
546;St. Elizabeth Apartment House (901 Powell Street at Sacramento);1
547;St Regis Hotel, 125 3rd Street;1
548;Spring Valley School (1451 Jackson Street);1
549;Pine St. & Grant;1
550;Players Arcade at Pier 39;1
551;Plate Shots SF streets various;1
552;Pioneer Park at Coit Tower;1
553;Pine between Kearney and Davis;1
554;Pine and Leavenworth;1
555;Pine St. between Market and Montgomery;1
556;Pine St. between Market and Kearny;1
557;Pine St. & Davis St;1
558;Point Lobos Avenue;1
559;Piers 30-32;1
560;Pierce Street between Pacific & Green Streets;1
561;Pierce St. & Golden Gate Avenue (Hayes Valley);1
562;Pierce & California Streets (Pacific Heights);1
563;Pier 96;1
564;Pier 7/ Embarcadero;1
565;Pier 50- end of the pier;1
566;Pleasant Street at Taylor;1
567;Polk & Larkin Streets;1
568;Powell from Bush and Sutter;1
569;Potrero Hill: Rhode Island btwn 15th and 16th;1
570;Powell Street;1
571;Powell St. from Geary to Sacramento;1
572;Powell St. from California St. to Sutter St.;1
573;Powell St. at Market St.;1
574;Powell St btwn North Point and Embarcadero;1
575;Powell St at Geary St;1
576;Powell & California Streets;1
577;Potrero Hill Recreation Center (801 Arkansas Street);1
578;Polk and Northpoint St.;1
579;Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street);1
580;Potrero &San Bruno;1
581;Potomac and Waller;1
582;Postcard Row, Alamo Square, Hayes Valley;1
583;Post & Jones St.;1
584;Portola Rose Garden, 598 Hamilton St at Woolsey St;1
585;Port of San Francisco;1
586;Pier 50;1
587;Pier 5;1
588;Pier 45 - Musee Mechanique;1
589;Olympic Flame Café, 555 Geary St;1
590;Pacific Stock Exchange;1
591;Pacific Heights Towers (2200 Sacramento Street, Pacific Heights);1
592;Pacific & Divisadero;1
593;Outpost Studios, 69 Green Street;1
594;Orphan Andy's, 3991 17th Street;1
595;Orphan Andy's;1
596;One Thousand Powell Apartments (1000 Powell Street);1
597;Old St. Mary's Church (660 California Street at Grant);1
598;Pier 45 - Jeremiah O'Brien Liberty Ship;1
599;Ohloff Recovery Center (601 Steiner St);1
600;Octavia at Grove Street;1
601;Octavia & Hayes Streets (Hayes Valley);1
602;Ocean Beach at Point Lobos;1
603;Ocean Beach at Lincoln;1
604;Ocean Beach Motel (2690 46th Ave.);1
605;Ocean Beach @ Balboa;1
606;Pacific Stock Exchange (301 Pine Street at Sansome);1
607;Palace of Fine Arts: 3306 Lyon St.;1
608;Park Hill Sanatorium (351 Buena Vista Avenue East);1
609;Patricia's Green;1
610;Pier 45;1
611;Pier 41;1
612;Pier 39 San Francisco;1
613;Pier 39 (Fisherman's Wharf);1
614;Pier 38-40, The Embarcadero;1
615;Pier 33 (Embarcadero);1
616;Pier 3 (The Embarcadero);1
617;Pier 27;1
618;Pier 24;1
619;Haight at Masonic;1
620;Pier 14;1
621;Pier 1;1
622;Philz Coffee, 1258 Minnesota Street;1
623;Pennsylvania Avenue at 19th Street;1
624;Pay and Save Grocery, 599 Guerrero St;1
625;Powell and Geary Streets (Union Square);1
626;Presidio Branch Library;1
627;Spreckels Mansion (2080 Washington Street, Pacific Heights);1
628;San Francisco Airport;1
629;San Francisco General Hospital;1
630;San Francisco Fire Station 38 (2150 California Street, Pacific Heights);1
631;San Francisco Drydock (The Dogpatch);1
632;San Francisco City Hall, 1 Dr. Carlton B. Goodlett Pl.;1
633;San Francisco Bay;1
634;San Francisco Art Institute, 800 Chestnut;1
635;San Francisco Art Institute (800 Chestnut Street);1
636;San Francisco - Oakland Bay Bridge;1
637;San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center);1
638;San Bruno and Alameda;1
639;Saks Fifth Avenue (384 Post Street, Union Square);1
640;Saints Peter & Paul Church;1
641;Saint Louis Alley at Jackson;1
642;Sacramento between Mason and Taylor St;1
643;Sacramento St., Between Pierce & Broderick Streets;1
644;Sacramento & Washington Streets;1
645;San Francisco Hilton (333 O'Farrell Street);1
646;San Francisco Public Library Main Branch (100 Larkin Street);1
647;Presidio Church at 130 Fisher Loop;1
648;Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street);1
649;Spofford between Washington and Clay;1
650;Spofford between Clay and Washington;1
651;Sparky's Diner, 242 Church Street;1
652;Southern Pacific Memorial Hospital (1400 Fell Street);1
653;South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets);1
654;South Park;1
655;Sound Factory (1st and Harrison Streets);1
656;Silver Restaurant (737 Washington Street, Chinatown);1
657;San Francisco Zoo (2701 Sloat Blvd.);1
658;Shotwell St btwn 20th and 21st St;1
659;Sheraton Palace Hotel (2 Montgomery Street, Financial District);1
660;Scott St between Jackson and Clay St;1
661;Sansome Street (The Embarcadero);1
662;Sansome (Washington to Bush) Pine (Davis to Kearny) Bush: Kearny to Battery;1
663;Sanchez/Cumberland steps and sidewalks;1
664;San Remo Hotel (2237 Mason);1
665;Sacramento & Montgomery Streets;1
666;Sacramento & Hyde Streets (Nob Hill);1
667;Sacramento & Front St.;1
668;Rainforest Café (145 Jefferson Street);1
669;Regency Building (1290 Sutter Street);1
670;Red's Java House (Pier 30);1
671;Red Building, 2567 Mission St;1
672;Real Guitars;1
673;Raw Hide II (280 Seventh Street);1
674;Randall Museum;1
675;Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center);1
676;Punjab Café, 838 24th St.;1
677;SPECS' Twelve Adler Museum Café;1
678;Punjab;1
679;Public Health Service Hospital (Presidio, Golden Gate National Recreation Area);1
680;Prudente's Italian Deli (1462 Grant Ave at Union);1
681;Project Artaud (Florida Street);1
682;Private alley along 20th St. between Tennessee and Minnesota;1
683;Presidio, Golden Gate National Recreation Area;1
684;Presidio Heights Neighborhood;1
685;Ritz-Carlton Hotel (600 Stockton Street);1
686;Roaring Twenties Nightclub (555 Broadway at Columbus);1
687;Rocco's Corner (Columbus Street);1
688;Romain St.;1
689;SFPD Headquarters - 3rd St;1
690;SFO International Airport Terminal 3;1
